Internship Id,Role,Company Name,Location,Duration,Stipend,Intern Type,Skills,Perks,Hiring Since,Opportunity Date,Opening,Hired Candidate,Number of Applications,Website Link
2456465,Business Development (Sales) Internship,Madbrains Technologies LLP,"('Chandigarh, Mohali',)",4 Months,"₹ 5,000-12,000 /month",['Internship with job offer'],"['Content Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'LinkedIn Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Job offer']",Hiring since March 2023,4 opportunities posted,1,,52 applicants,https://www.linkedin.com/company/madbrains-technologies-llp/
2456478,Human Resources (HR) Internship,Jobs Flash Consulting Services,"('Gurgaon',)",6 Months,"₹ 8,000 /month",['Internship with job offer'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'Recruitment']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages', 'Job offer']",Hiring since September 2021,19 opportunities posted,1,,174 applicants,http://jobsflash.in
2452185,Content & E-Commerce Management Internship,Fall For Flora,"('Faridabad, Delhi, Gurgaon, Noida',)",4 Months,"₹ 7,000 /month",['Internship'],"['Canva', 'English Proficiency (Spoken)']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']",Hiring since April 2023,15 opportunities posted,1,,67 applicants,http://fallforflora.com/
2450936,Project Management Internship,Special Situation Advisors India Private Limited,"('Thane, Navi Mumbai, Mumbai, Vashi, Panvel',)",3 Months,"₹ 7,000-10,000 /month",['Internship'],"['MS-Excel', 'MS-Office']","['Certificate', '5 days a week']",Hiring since September 2015,335 opportunities posted,4,88 candidates hired,203 applicants,http://specialsituation.in
2450882,Digital Marketing Internship,Special Situation Advisors India Private Limited,"('Thane, Navi Mumbai, Mumbai, Vashi, Panvel',)",3 Months,"₹ 7,000-10,000 /month",['Internship'],"['Canva', 'Content Marketing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'LinkedIn Marketing', 'MS-Office', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', '5 days a week']",Hiring since September 2015,335 opportunities posted,4,88 candidates hired,95 applicants,http://specialsituation.in
2461135,Business Development (Sales) Internship,Pradeep K,"('Jaipur',)",2 Months,"₹ 8,000 /month +  Incentives",['Internship with job offer'],"['Effective Communication', 'Marketing', 'Sales']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']",Hiring since March 2024,3 opportunities posted,10,,33 applicants,
2451137,Client Acquisition Internship,Special Situation Advisors India Private Limited,"('Thane, Navi Mumbai, Mumbai, Vashi, Panvel',)",3 Months,"₹ 7,000-10,000 /month",['Internship'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']","['Certificate', '5 days a week']",Hiring since September 2015,335 opportunities posted,4,88 candidates hired,107 applicants,http://specialsituation.in
2448829,Business Development Internship,Bright EduWorld,"('Pune',)",2 Months,"₹ 10,000 /month",['Internship'],"['Effective Communication', 'English Proficiency (Spoken)', 'Marathi Proficiency(Spoken)', 'Sales pitch']","['Certificate', 'Letter of recommendation']",Hiring since September 2023,4 opportunities posted,2,,141 applicants,https://brighteduworld.com
2453422,Business Development (Sales) Internship,Fall For Flora,"('Delhi',)",4 Months,"₹ 7,000-10,000 /month",['Internship'],"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']",Hiring since April 2023,15 opportunities posted,2,,45 applicants,http://fallforflora.com/
2452150,Video Editing Internship,Affilytics Private Limited,"('Delhi',)",2 Months,"₹ 8,000 /month",['Internship'],"['Adobe After Effects', 'Adobe Premiere Pro']",['Certificate'],Hiring since September 2021,15 opportunities posted,3,43 candidates hired,120 applicants,
2462533,Program Management (Edtech) Internship,Engineer's Cradle,"('Pune',)",6 Months,"₹ 6,500 /month",['Internship with job offer'],"['Marketing', 'Product Management', 'Project Management', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Job offer']",Hiring since June 2022,123 opportunities posted,4,,Be an early applicant,https://www.linkedin.com/company/engineers-cradle/
2462522,Copywriting Internship,Ayurveda House Private Limited,"('Delhi',)",3 Months,"₹ 12,000-15,000 /month",['Internship with job offer'],"['Content Writing', 'Creative Writing', 'English Proficiency (Spoken)']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Job offer']",Hiring since June 2023,474 opportunities posted,2,6 candidates hired,Be an early applicant,http://ayuvya.com
2462514,Full Stack Development - ONDC Network Internship,Yardstick,"('Bangalore',)",6 Months,"₹ 5,000-15,000 /month",['Internship'],['Certificate'],['Certificate'],Hiring since November 2023,23 opportunities posted,2,8 candidates hired,Be an early applicant,
2462508,Video Editing/Making Internship (Part time/Remote),Infits,"('Work from home',)",3 Months,"₹ 5,000 /month",['Internship'],"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing', 'Video Making']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since April 2024,4 opportunities posted,5,,Be an early applicant,http://infits.in
2462455,Business Development (Sales) Internship,Indika AI Private Limited,"('Delhi',)",3 Months,"₹ 8,000-10,000 /month",['Internship'],"['Lead Generation', 'Sales']",['Certificate'],Hiring since October 2021,290 opportunities posted,1,552 candidates hired,Be an early applicant,
2462474,Supply Chain & Logistics Operations Internship,Stockarea,"('Chennai',)",5 Months,"₹ 10,000-14,000 /month",['Internship with job offer'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'MS-Excel', 'MS-Word', 'Operations']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']",Hiring since July 2019,197 opportunities posted,2,29 candidates hired,Be an early applicant,
2462501,Human Resources (HR) Internship,Medius Technologies Private Limited,"('Mumbai',)",3 Months,"₹ 8,000 /month",['Internship'],['Recruitment'],"['Certificate', 'Letter of recommendation']",Hiring since June 2021,998 opportunities posted,5,9 candidates hired,Be an early applicant,
